"ID","Data_paper","Data_paper_ID","Site","Subsite","Latitude","Longitude","LatLonAdjusted","Country","MAT_C","MAP_mm","Biome","Soil_N","Soil_pH","Soil_CEC","Soil_sand_pct","Soil_silt_pct","Soil_clay_pct","Soil_texture_index","Forest_age","Successional_stage","Forest_age_group","Forest_description","Disturbance_note","Dominant_species","Leaf_type","Sampling_interval","Sampling_duration","Sampling_area_ha","Sampling_frequency","Trap_area_m2","N_Traps","Leaf_flux_Mghayr","Repro_flux_Mghayr","R..R.L.","Primary_Reference","Supplementary_References","Site_soil_total_P","Site_soil_N","Site_soil_pH","Site_soil_CEC","Site_soil_sand","Site_soil_clay","Site_soil_silt","Reference_soils","site_soil_data"
436,"Jia et al., 2016",420,"Sichuan","Gongga Mountain",29.57,103,0,"China",11.34999943,1090,"Temperate",1.608333333,5.4,18.15,31.53333333,35.81666667,27.2,0.147828214,150,"old-growth","old","Abies forest",NA,"A. fabri","needleleaf","1994-1999",5,NA,"Once(Nov.-Apr.), Monthly(Others)",1,10,2.103,0.0078,0.003695281,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
437,"Jia et al., 2016",421,"Sichuan","Gongga Mountain",29.57,103,0,"China",11.34999943,1090,"Temperate",1.608333333,5.4,18.15,31.53333333,35.81666667,27.2,0.147828214,114,"old-growth","old","Abies forest",NA,"A. fabri","needleleaf","1994-1999",5,NA,"Semi-yearly",1,10,2.2793,0.1692,0.069103533,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
438,"Jia et al., 2016",427,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,34,"secondary","young","Pinus  & Cupressus mixed forest","Secondary forest, disturbance not specified","P. massoniana & C. funebris","needleleaf","2003-2004",1,NA,"Monthly",0.25,10,2.7785,0.7602,0.214824653,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
439,"Jia et al., 2016",428,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,35,"secondary","young","Pinus  & Cupressus mixed forest","Secondary forest, disturbance not specified","P. massoniana & C. funebris","needleleaf","2004-2005",1,NA,"Monthly",0.25,10,3.7546,0.7055,0.15818031,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"Jia et al., 2016",429,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,36,"secondary","young","Pinus  & Cupressus mixed forest","Secondary forest, disturbance not specified","P. massoniana & C. funebris","needleleaf","2005-2006",1,NA,"Monthly",0.25,10,3.168,1.1014,0.25797536,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"Jia et al., 2016",430,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,17,"secondary","young","Pinus  & Quercus mixed forest","Secondary forest, disturbance not specified","P. massoniana & Q. variabilis","mixed","2003-2004",1,NA,"Monthly",0.25,10,3.81,0.5805,0.132217287,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"Jia et al., 2016",431,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,18,"secondary","young","Pinus  & Quercus mixed forest","Secondary forest, disturbance not specified","P. massoniana & Q. variabilis","mixed","2004-2005",1,NA,"Monthly",0.25,10,4.2679,0.2617,0.057775521,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
443,"Jia et al., 2016",432,"Sichuan","Mianyang City",31.58,104.79,0,"China",16.08749962,936,"Temperate",0.983333333,7.783333333,18.23333333,27.65,41.33333333,26.48333333,0.043110124,19,"secondary","young","Pinus  & Quercus mixed forest","Secondary forest, disturbance not specified","P. massoniana & Q. variabilis","mixed","2005-2006",1,NA,"Monthly",0.25,10,5.5362,0.2388,0.041350649,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
444,"Jia et al., 2016",439,"Heilongjiang","Maorshan Ecological Station",45.38,127.53,0,"China",3.091666698,586,"Temperate",2.123333333,6.233333333,19.41666667,20.9,49.51666667,23.48333333,-0.116541791,36,"secondary","young","Broadleaved forest","Secondary forest, disturbance not specified","Acer elegantulum","broadleaf","NA-NA",1,NA,"Monthly",1,8,4.2221,0.1925,0.04360531,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"Jia et al., 2016",440,"Heilongjiang","Maorshan Ecological Station",45.38,127.53,0,"China",3.091666698,586,"Temperate",2.123333333,6.233333333,19.41666667,20.9,49.51666667,23.48333333,-0.116541791,34,"secondary","young","Pinus & broadleaved mixed forest","Secondary forest, disturbance not specified","Pinus koraiensis","mixed","NA-NA",1,NA,"Monthly",1,8,3.9169,0.3087,0.073054714,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
446,"Jia et al., 2016",442,"Yunnan","Menglun Nature Reserve",21.95,101.2,0,"China",22.10833359,1636,"Tropical",1.516666667,5,8.65,30.06666667,30.05,33.23333333,-0.10013625,NA,"old-growth","old","Seasonal rainforest",NA,"Pometia tomentosa,Terminalia myriocarpa & Garuga floribunda","broadleaf","NA-NA",4,NA,"Monthly",0.2,40,5.088,1.129,0.181598842,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
